,IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Year,Report_Datetime,RowID,IncidentID,CAD_Num,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Subcategory,Police District,Analysis Neighborhood,Supervisor District
46668,180000417,ASSAULT,BATTERY,Sunday,12/31/17,23:58,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,"(37.775420706711, -122.40340479147905)",1.8E+13,32,1,10,34,,,,,,,,,,,,,
46669,180000069,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Sunday,12/31/17,23:56,TENDERLOIN,"ARREST, BOOKED",500 Block of JONES ST,-122.4129991,37.78627746,"(37.78627745916602, -122.41299907500884)",1.8E+13,20,5,10,36,,,,,,,,,,,,,
46672,186005077,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,12/31/17,23:55,MISSION,NONE,500 Block of VALENCIA ST,-122.4218765,37.76408889,"(37.76408889445322, -122.42187648849193)",1.86005E+13,37,3,5,20,,,,,,,,,,,,,
46673,176001461,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,12/31/17,23:50,SOUTHERN,NONE,700 Block of HARRISON ST,-122.3978145,37.78213725,"(37.782137249161906, -122.3978145063337)",1.76001E+13,32,1,10,34,,,,,,,,,,,,,
46674,180000025,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,12/31/17,23:46,NORTHERN,"ARREST, BOOKED",HEMLOCK ST / POLK ST,-122.4200215,37.78728071,"(37.787280707610776, -122.42002147104692)",1.8E+13,50,4,3,21,,,,,,,,,,,,,
46677,180000940,NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES",Sunday,12/31/17,23:45,RICHMOND,NONE,100 Block of 3RD AV,-122.4613494,37.78609572,"(37.78609571815858, -122.46134942159891)",1.80001E+13,4,8,6,11,,,,,,,,,,,,,
46678,180000019,ASSAULT,BATTERY OF A POLICE OFFICER,Sunday,12/31/17,23:35,SOUTHERN,"ARREST, BOOKED",900 Block of MARKET ST,-122.4097084,37.78282765,"(37.7828276498838, -122.40970842372067)",1.8E+13,20,5,10,36,,,,,,,,,,,,,
46681,180000144,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,12/31/17,23:35,CENTRAL,"ARREST, BOOKED",400 Block of GEARY ST,-122.4106997,37.78698819,"(37.78698818853082, -122.41069965763408)",1.8E+13,20,6,3,36,,,,,,,,,,,,,
46683,180000473,"SEX OFFENSES, FORCIBLE","FORCIBLE RAPE, BODILY FORCE",Sunday,12/31/17,23:30,CENTRAL,NONE,400 Block of GEARY ST,-122.4106997,37.78698819,"(37.78698818853082, -122.41069965763408)",1.8E+13,20,6,3,36,,,,,,,,,,,,,
46684,186000378,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,12/31/17,23:30,SOUTHERN,NONE,4TH ST / BRYANT ST,-122.3980634,37.77956585,"(37.77956584602927, -122.39806344539454)",1.86E+13,32,1,10,34,,,,,,,,,,,,,
