STATION,NAME,DATE,TAVG
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/1/17,54
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/2/17,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/3/17,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/4/17,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/5/17,57
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/6/17,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/7/17,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/8/17,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/9/17,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/10/17,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/11/17,54
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/12/17,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/13/17,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/14/17,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/15/17,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/16/17,56
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/17/17,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/18/17,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/19/17,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/20/17,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/21/17,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/22/17,46
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/23/17,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/24/17,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/25/17,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/26/17,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/27/17,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/28/17,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/29/17,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/30/17,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12/31/17,51
